720.jpg, 2, 0.0586828
720.jpg, 3, 0.058803
720.jpg, 4, 0.0584477
720.jpg, 5, 0.0579958
720.jpg, 6, 0.0578639
720.jpg, 7, 0.0578096
720.jpg, 8, 0.0573162
720.jpg, 9, 0.05726
720.jpg, 10, 0.0568596
720.jpg, 11, 0.0568781
720.jpg, 12, 0.0566742
720.jpg, 13, 0.0560604
720.jpg, 14, 0.0560212
720.jpg, 15, 0.0554059
720.jpg, 16, 0.0553721
1080.jpg, 2, 0.133166
1080.jpg, 3, 0.133522
1080.jpg, 4, 0.133024
1080.jpg, 5, 0.133182
1080.jpg, 6, 0.13194
1080.jpg, 7, 0.132327
1080.jpg, 8, 0.130879
1080.jpg, 9, 0.131513
1080.jpg, 10, 0.130796
1080.jpg, 11, 0.13039
1080.jpg, 12, 0.133787
1080.jpg, 13, 0.135739
1080.jpg, 14, 0.132031
1080.jpg, 15, 0.130088
1080.jpg, 16, 0.128838
4k.jpg, 2, 0.538258
4k.jpg, 3, 0.539117
4k.jpg, 4, 0.536813
4k.jpg, 5, 0.540443
4k.jpg, 6, 0.574358
4k.jpg, 7, 0.598844
4k.jpg, 8, 0.576133
4k.jpg, 9, 0.605485
4k.jpg, 10, 0.538998
4k.jpg, 11, 0.539413
4k.jpg, 12, 0.552585
4k.jpg, 13, 0.546364
4k.jpg, 14, 0.546333
4k.jpg, 15, 0.531467
4k.jpg, 16, 0.527619
