720.jpg, 2, 2, 0.0341528
720.jpg, 3, 2, 0.0343424
720.jpg, 4, 2, 0.0331412
720.jpg, 5, 2, 0.0348429
720.jpg, 6, 2, 0.0334815
720.jpg, 7, 2, 0.0330567
720.jpg, 8, 2, 0.0330883
720.jpg, 9, 2, 0.0334992
720.jpg, 10, 2, 0.0326214
720.jpg, 11, 2, 0.0326103
720.jpg, 12, 2, 0.0336493
720.jpg, 13, 2, 0.0320598
720.jpg, 14, 2, 0.0320789
720.jpg, 15, 2, 0.0319876
720.jpg, 16, 2, 0.0318806
720.jpg, 2, 4, 0.0180188
720.jpg, 3, 4, 0.0182987
720.jpg, 4, 4, 0.017548
720.jpg, 5, 4, 0.0176147
720.jpg, 6, 4, 0.0178822
720.jpg, 7, 4, 0.0174439
720.jpg, 8, 4, 0.017331
720.jpg, 9, 4, 0.0179037
720.jpg, 10, 4, 0.0335733
720.jpg, 11, 4, 0.0173727
720.jpg, 12, 4, 0.016988
720.jpg, 13, 4, 0.0168541
720.jpg, 14, 4, 0.0170591
720.jpg, 15, 4, 0.0174434
720.jpg, 16, 4, 0.0329057
720.jpg, 2, 8, 0.0217897
720.jpg, 3, 8, 0.0180568
720.jpg, 4, 8, 0.0203539
720.jpg, 5, 8, 0.025092
720.jpg, 6, 8, 0.0192552
720.jpg, 7, 8, 0.019346
720.jpg, 8, 8, 0.0193905
720.jpg, 9, 8, 0.0177635
720.jpg, 10, 8, 0.0186211
720.jpg, 11, 8, 0.0195199
720.jpg, 12, 8, 0.0182989
720.jpg, 13, 8, 0.0174568
720.jpg, 14, 8, 0.0203074
720.jpg, 15, 8, 0.0195062
720.jpg, 16, 8, 0.0191392
720.jpg, 2, 16, 0.0196917
720.jpg, 3, 16, 0.0218786
720.jpg, 4, 16, 0.0197524
720.jpg, 5, 16, 0.0198618
720.jpg, 6, 16, 0.0205067
720.jpg, 7, 16, 0.0199433
720.jpg, 8, 16, 0.0199467
720.jpg, 9, 16, 0.0224801
720.jpg, 10, 16, 0.0183145
720.jpg, 11, 16, 0.0227368
720.jpg, 12, 16, 0.0201355
720.jpg, 13, 16, 0.0180455
720.jpg, 14, 16, 0.02044
720.jpg, 15, 16, 0.0178586
720.jpg, 16, 16, 0.0184737
1080.jpg, 2, 2, 0.07722
1080.jpg, 3, 2, 0.0755968
1080.jpg, 4, 2, 0.0753188
1080.jpg, 5, 2, 0.0767579
1080.jpg, 6, 2, 0.0768596
1080.jpg, 7, 2, 0.0745789
1080.jpg, 8, 2, 0.0744825
1080.jpg, 9, 2, 0.0746716
1080.jpg, 10, 2, 0.0743111
1080.jpg, 11, 2, 0.0746448
1080.jpg, 12, 2, 0.0743685
1080.jpg, 13, 2, 0.0743513
1080.jpg, 14, 2, 0.0731612
1080.jpg, 15, 2, 0.074689
1080.jpg, 16, 2, 0.0727701
1080.jpg, 2, 4, 0.0401862
1080.jpg, 3, 4, 0.0398536
1080.jpg, 4, 4, 0.0396566
1080.jpg, 5, 4, 0.0395875
1080.jpg, 6, 4, 0.0776803
1080.jpg, 7, 4, 0.0392306
1080.jpg, 8, 4, 0.039168
1080.jpg, 9, 4, 0.0765632
1080.jpg, 10, 4, 0.039019
1080.jpg, 11, 4, 0.0394162
1080.jpg, 12, 4, 0.0388862
1080.jpg, 13, 4, 0.0386958
1080.jpg, 14, 4, 0.0385239
1080.jpg, 15, 4, 0.038539
1080.jpg, 16, 4, 0.038243
1080.jpg, 2, 8, 0.0409597
1080.jpg, 3, 8, 0.041229
1080.jpg, 4, 8, 0.0410463
1080.jpg, 5, 8, 0.0419349
1080.jpg, 6, 8, 0.04352
1080.jpg, 7, 8, 0.0421393
1080.jpg, 8, 8, 0.0448562
1080.jpg, 9, 8, 0.0401499
1080.jpg, 10, 8, 0.051178
1080.jpg, 11, 8, 0.0398496
1080.jpg, 12, 8, 0.0407446
1080.jpg, 13, 8, 0.0411564
1080.jpg, 14, 8, 0.0416308
1080.jpg, 15, 8, 0.0412518
1080.jpg, 16, 8, 0.0402079
1080.jpg, 2, 16, 0.0410043
1080.jpg, 3, 16, 0.0431454
1080.jpg, 4, 16, 0.0459856
1080.jpg, 5, 16, 0.0440761
1080.jpg, 6, 16, 0.045198
1080.jpg, 7, 16, 0.0442864
1080.jpg, 8, 16, 0.0454061
1080.jpg, 9, 16, 0.0451746
1080.jpg, 10, 16, 0.0475956
1080.jpg, 11, 16, 0.0430785
1080.jpg, 12, 16, 0.0436658
1080.jpg, 13, 16, 0.0450328
1080.jpg, 14, 16, 0.0449001
1080.jpg, 15, 16, 0.0429213
1080.jpg, 16, 16, 0.0418136
4k.jpg, 2, 2, 0.305013
4k.jpg, 3, 2, 0.307223
4k.jpg, 4, 2, 0.301832
4k.jpg, 5, 2, 0.30944
4k.jpg, 6, 2, 0.301857
4k.jpg, 7, 2, 0.304616
4k.jpg, 8, 2, 0.302629
4k.jpg, 9, 2, 0.302625
4k.jpg, 10, 2, 0.301168
4k.jpg, 11, 2, 0.303142
4k.jpg, 12, 2, 0.3009
4k.jpg, 13, 2, 0.299676
4k.jpg, 14, 2, 0.301125
4k.jpg, 15, 2, 0.299276
4k.jpg, 16, 2, 0.302158
4k.jpg, 2, 4, 0.161935
4k.jpg, 3, 4, 0.15953
4k.jpg, 4, 4, 0.173133
4k.jpg, 5, 4, 0.159251
4k.jpg, 6, 4, 0.161856
4k.jpg, 7, 4, 0.159177
4k.jpg, 8, 4, 0.158499
4k.jpg, 9, 4, 0.158235
4k.jpg, 10, 4, 0.161417
4k.jpg, 11, 4, 0.157461
4k.jpg, 12, 4, 0.157709
4k.jpg, 13, 4, 0.157186
4k.jpg, 14, 4, 0.159632
4k.jpg, 15, 4, 0.156786
4k.jpg, 16, 4, 0.156368
4k.jpg, 2, 8, 0.164331
4k.jpg, 3, 8, 0.186261
4k.jpg, 4, 8, 0.162951
4k.jpg, 5, 8, 0.162972
4k.jpg, 6, 8, 0.165108
4k.jpg, 7, 8, 0.165704
4k.jpg, 8, 8, 0.162532
4k.jpg, 9, 8, 0.162165
4k.jpg, 10, 8, 0.160915
4k.jpg, 11, 8, 0.164011
4k.jpg, 12, 8, 0.1612
4k.jpg, 13, 8, 0.160944
4k.jpg, 14, 8, 0.163284
4k.jpg, 15, 8, 0.161026
4k.jpg, 16, 8, 0.161607
4k.jpg, 2, 16, 0.17147
4k.jpg, 3, 16, 0.164764
4k.jpg, 4, 16, 0.169222
4k.jpg, 5, 16, 0.164806
4k.jpg, 6, 16, 0.165225
4k.jpg, 7, 16, 0.17714
4k.jpg, 8, 16, 0.163357
4k.jpg, 9, 16, 0.166893
4k.jpg, 10, 16, 0.161233
4k.jpg, 11, 16, 0.166691
4k.jpg, 12, 16, 0.165685
4k.jpg, 13, 16, 0.163662
4k.jpg, 14, 16, 0.16225
4k.jpg, 15, 16, 0.180074
4k.jpg, 16, 16, 0.166573
